#chr,cM,misassembled,old.scaffold.name,new.scaffold.name,start,end,length,cum.bp.chr,cum.bp.genome
chr1,0,no,supercont1.166,supercont1.166,0,2012222,2012222,2012222,2012222
chr1,0,yes,supercont1.222,supercont1.222a,0,321904,321904,2334126,2334126
chr1,0,no,supercont1.267,supercont1.267,0,1546120,1546120,3880246,3880246
chr1,0,no,supercont1.272,supercont1.272,0,1480619,1480619,5360865,5360865
chr1,0,no,supercont1.296,supercont1.296,0,1393133,1393133,6753998,6753998
chr1,0,no,supercont1.327,supercont1.327,0,1288320,1288320,8042318,8042318
chr1,0,no,supercont1.398,supercont1.398,0,1090722,1090722,9133040,9133040
chr1,0,no,supercont1.461,supercont1.461,0,978611,978611,10111651,10111651
chr1,0,yes,supercont1.48,supercont1.48b,1298832,1423177,124345,10235996,10235996
chr1,0,no,supercont1.487,supercont1.487,0,1027667,1027667,11263663,11263663
chr1,0,no,supercont1.512,supercont1.512,0,982904,982904,12246567,12246567
chr1,0,no,supercont1.696,supercont1.696,0,759005,759005,13005572,13005572
chr1,0,yes,supercont1.97,supercont1.97b,1038837,2754592,1715755,14721327,14721327
chr1,0,no,supercont1.970,supercont1.970,0,325323,325323,15046650,15046650
chr1,4.47,no,supercont1.1025,supercont1.1025,0,279509,279509,15326159,15326159
chr1,4.47,no,supercont1.1076,supercont1.1076,0,259488,259488,15585647,15585647
chr1,4.47,no,supercont1.1138,supercont1.1138,0,220170,220170,15805817,15805817
chr1,4.47,yes,supercont1.122,supercont1.122a,0,184381,184381,15990198,15990198
chr1,4.47,yes,supercont1.245,supercont1.245b,1404802,1696409,291607,16281805,16281805
chr1,4.47,yes,supercont1.252,supercont1.252b,1520315,1592843,72528,16354333,16354333
chr1,4.47,no,supercont1.288,supercont1.288,0,1557290,1557290,17911623,17911623
chr1,4.47,no,supercont1.300,supercont1.300,0,1467236,1467236,19378859,19378859
chr1,4.47,no,supercont1.331,supercont1.331,0,1329638,1329638,20708497,20708497
chr1,4.47,no,supercont1.415,supercont1.415,0,1112054,1112054,21820551,21820551
chr1,4.47,yes,supercont1.45,supercont1.45a,0,128088,128088,21948639,21948639
chr1,4.47,no,supercont1.925,supercont1.925,0,406895,406895,22355534,22355534
chr1,8.691,no,supercont1.428,supercont1.428,0,1034842,1034842,23390376,23390376
chr1,12.537,no,supercont1.156,supercont1.156,0,2106494,2106494,25496870,25496870
chr1,12.537,yes,supercont1.222,supercont1.222b,1087537,1795534,707997,26204867,26204867
chr1,12.537,no,supercont1.295,supercont1.295,0,1404970,1404970,27609837,27609837
chr1,12.537,no,supercont1.318,supercont1.318,0,1339553,1339553,28949390,28949390
chr1,12.537,yes,supercont1.32,supercont1.32b,313509,328984,15475,28964865,28964865
chr1,12.537,no,supercont1.576,supercont1.576,0,733731,733731,29698596,29698596
chr1,12.537,no,supercont1.672,supercont1.672,0,601292,601292,30299888,30299888
chr1,12.537,no,supercont1.700,supercont1.700,0,581074,581074,30880962,30880962
chr1,18.675,no,supercont1.176,supercont1.176,0,2016409,2016409,32897371,32897371
chr1,18.675,yes,supercont1.26,supercont1.26a,0,1301894,1301894,34199265,34199265
chr1,18.675,no,supercont1.33,supercont1.33,0,3689457,3689457,37888722,37888722
chr1,18.675,no,supercont1.373,supercont1.373,0,1210988,1210988,39099710,39099710
chr1,20.105,no,supercont1.127,supercont1.127,0,2370492,2370492,41470202,41470202
chr1,21.535,yes,supercont1.106,supercont1.106a,0,2447182,2447182,43917384,43917384
chr1,21.535,no,supercont1.1062,supercont1.1062,0,320638,320638,44238022,44238022
chr1,21.535,no,supercont1.123,supercont1.123,0,2410060,2410060,46648082,46648082
chr1,21.535,yes,supercont1.125,supercont1.125a,0,710864,710864,47358946,47358946
chr1,21.535,yes,supercont1.130,supercont1.130b,1521951,2489063,967112,48326058,48326058
chr1,21.535,no,supercont1.1438,supercont1.1438,0,82188,82188,48408246,48408246
chr1,21.535,no,supercont1.147,supercont1.147,0,2138830,2138830,50547076,50547076
chr1,21.535,no,supercont1.160,supercont1.160,0,2408894,2408894,52955970,52955970
chr1,21.535,no,supercont1.171,supercont1.171,0,2025736,2025736,54981706,54981706
chr1,21.535,yes,supercont1.174,supercont1.174b,1070576,1986401,915825,55897531,55897531
chr1,21.535,no,supercont1.175,supercont1.175,0,2006868,2006868,57904399,57904399
chr1,21.535,no,supercont1.188,supercont1.188,0,1935975,1935975,59840374,59840374
chr1,21.535,no,supercont1.192,supercont1.192,0,1864021,1864021,61704395,61704395
chr1,21.535,no,supercont1.199,supercont1.199,0,1892278,1892278,63596673,63596673
chr1,21.535,yes,supercont1.2,supercont1.2b,1697163,5729030,4031867,67628540,67628540
chr1,21.535,yes,supercont1.20,supercont1.20b,3012303,4138018,1125715,68754255,68754255
chr1,21.535,no,supercont1.212,supercont1.212,0,1858332,1858332,70612587,70612587
chr1,21.535,no,supercont1.218,supercont1.218,0,1785985,1785985,72398572,72398572
chr1,21.535,yes,supercont1.22,supercont1.22a,0,549342,549342,72947914,72947914
chr1,21.535,no,supercont1.232,supercont1.232,0,1763874,1763874,74711788,74711788
chr1,21.535,no,supercont1.234,supercont1.234,0,1732108,1732108,76443896,76443896
chr1,21.535,no,supercont1.258,supercont1.258,0,1556043,1556043,77999939,77999939
chr1,21.535,no,supercont1.260,supercont1.260,0,1562005,1562005,79561944,79561944
chr1,21.535,no,supercont1.264,supercont1.264,0,1639318,1639318,81201262,81201262
chr1,21.535,no,supercont1.270,supercont1.270,0,1516553,1516553,82717815,82717815
chr1,21.535,yes,supercont1.29,supercont1.29a,0,1377634,1377634,84095449,84095449
chr1,21.535,no,supercont1.294,supercont1.294,0,1426023,1426023,85521472,85521472
chr1,21.535,no,supercont1.308,supercont1.308,0,1401467,1401467,86922939,86922939
chr1,21.535,no,supercont1.323,supercont1.323,0,1316576,1316576,88239515,88239515
chr1,21.535,no,supercont1.326,supercont1.326,0,1381451,1381451,89620966,89620966
chr1,21.535,no,supercont1.346,supercont1.346,0,1247450,1247450,90868416,90868416
chr1,21.535,no,supercont1.37,supercont1.37,0,3744586,3744586,94613002,94613002
chr1,21.535,no,supercont1.388,supercont1.388,0,1135229,1135229,95748231,95748231
chr1,21.535,no,supercont1.397,supercont1.397,0,1138263,1138263,96886494,96886494
chr1,21.535,no,supercont1.402,supercont1.402,0,1092227,1092227,97978721,97978721
chr1,21.535,no,supercont1.414,supercont1.414,0,1096716,1096716,99075437,99075437
chr1,21.535,no,supercont1.437,supercont1.437,0,993775,993775,100069212,100069212
chr1,21.535,no,supercont1.449,supercont1.449,0,988145,988145,101057357,101057357
chr1,21.535,no,supercont1.479,supercont1.479,0,900854,900854,101958211,101958211
chr1,21.535,no,supercont1.508,supercont1.508,0,920430,920430,102878641,102878641
chr1,21.535,no,supercont1.523,supercont1.523,0,826673,826673,103705314,103705314
chr1,21.535,no,supercont1.56,supercont1.56,0,3188272,3188272,106893586,106893586
chr1,21.535,yes,supercont1.567,supercont1.567c,652998,745105,92107,106985693,106985693
chr1,21.535,no,supercont1.608,supercont1.608,0,698497,698497,107684190,107684190
chr1,21.535,no,supercont1.619,supercont1.619,0,686650,686650,108370840,108370840
chr1,21.535,no,supercont1.622,supercont1.622,0,679726,679726,109050566,109050566
chr1,21.535,no,supercont1.647,supercont1.647,0,655402,655402,109705968,109705968
chr1,21.535,no,supercont1.659,supercont1.659,0,629611,629611,110335579,110335579
chr1,21.535,yes,supercont1.66,supercont1.66a,0,1853327,1853327,112188906,112188906
chr1,21.535,no,supercont1.670,supercont1.670,0,612104,612104,112801010,112801010
chr1,21.535,no,supercont1.699,supercont1.699,0,589657,589657,113390667,113390667
chr1,21.535,yes,supercont1.74,supercont1.74b,1983184,2917482,934298,114324965,114324965
chr1,21.535,no,supercont1.75,supercont1.75,0,2975254,2975254,117300219,117300219
chr1,21.535,no,supercont1.752,supercont1.752,0,534290,534290,117834509,117834509
chr1,21.535,no,supercont1.820,supercont1.820,0,471406,471406,118305915,118305915
chr1,21.535,no,supercont1.838,supercont1.838,0,478299,478299,118784214,118784214
chr1,21.535,yes,supercont1.84,supercont1.84b,2645185,2919364,274179,119058393,119058393
chr1,21.535,no,supercont1.863,supercont1.863,0,409763,409763,119468156,119468156
chr1,21.535,no,supercont1.905,supercont1.905,0,376108,376108,119844264,119844264
chr1,21.535,no,supercont1.93,supercont1.93,0,2851803,2851803,122696067,122696067
chr1,21.535,no,supercont1.932,supercont1.932,0,371432,371432,123067499,123067499
chr1,21.535,yes,supercont1.97,supercont1.97a,0,104859,104859,123172358,123172358
chr1,21.535,no,supercont1.991,supercont1.991,0,301048,301048,123473406,123473406
chr1,21.535,no,supercont1.993,supercont1.993,0,306531,306531,123779937,123779937
chr1,24.396,yes,supercont1.1,supercont1.1a,0,419719,419719,124199656,124199656
chr1,24.396,no,supercont1.100,supercont1.100,0,2644574,2644574,126844230,126844230
chr1,24.396,no,supercont1.1002,supercont1.1002,0,296325,296325,127140555,127140555
chr1,24.396,no,supercont1.1162,supercont1.1162,0,224611,224611,127365166,127365166
chr1,24.396,no,supercont1.117,supercont1.117,0,2495114,2495114,129860280,129860280
chr1,24.396,no,supercont1.155,supercont1.155,0,2087417,2087417,131947697,131947697
chr1,24.396,no,supercont1.335,supercont1.335,0,1337774,1337774,133285471,133285471
chr1,24.396,no,supercont1.370,supercont1.370,0,1154612,1154612,134440083,134440083
chr1,24.396,no,supercont1.50,supercont1.50,0,3200609,3200609,137640692,137640692
chr1,24.396,no,supercont1.501,supercont1.501,0,855566,855566,138496258,138496258
chr1,24.396,no,supercont1.521,supercont1.521,0,849217,849217,139345475,139345475
chr1,24.396,yes,supercont1.67,supercont1.67a,0,1576315,1576315,140921790,140921790
chr1,24.396,no,supercont1.730,supercont1.730,0,582506,582506,141504296,141504296
chr1,24.396,yes,supercont1.88,supercont1.88b,1953303,2707514,754211,142258507,142258507
chr1,24.396,no,supercont1.906,supercont1.906,0,379794,379794,142638301,142638301
chr1,24.396,yes,supercont1.96,supercont1.96a,0,2239022,2239022,144877323,144877323
chr1,25.8735,no,supercont1.70,supercont1.70,0,2929944,2929944,147807267,147807267
chr1,27.351,no,supercont1.181,supercont1.181,0,1928061,1928061,149735328,149735328
chr1,34.336,yes,supercont1.252,supercont1.252a,0,672846,672846,150408174,150408174
chr1,40.366,no,supercont1.190,supercont1.190,0,1893275,1893275,152301449,152301449
chr1,40.366,no,supercont1.73,supercont1.73,0,2899062,2899062,155200511,155200511
chr1,45.369,no,supercont1.1142,supercont1.1142,0,244533,244533,155445044,155445044
chr1,45.369,no,supercont1.133,supercont1.133,0,2339188,2339188,157784232,157784232
chr1,45.369,no,supercont1.281,supercont1.281,0,1451347,1451347,159235579,159235579
chr1,45.369,yes,supercont1.293,supercont1.293a,0,404155,404155,159639734,159639734
chr1,45.369,no,supercont1.429,supercont1.429,0,1044207,1044207,160683941,160683941
chr1,45.369,yes,supercont1.465,supercont1.465a,0,105683,105683,160789624,160789624
chr1,45.369,no,supercont1.476,supercont1.476,0,938795,938795,161728419,161728419
chr1,45.369,no,supercont1.480,supercont1.480,0,904131,904131,162632550,162632550
chr1,45.369,no,supercont1.632,supercont1.632,0,653225,653225,163285775,163285775
chr1,45.369,no,supercont1.650,supercont1.650,0,647669,647669,163933444,163933444
chr1,45.369,no,supercont1.688,supercont1.688,0,597518,597518,164530962,164530962
chr1,45.369,no,supercont1.702,supercont1.702,0,614976,614976,165145938,165145938
chr1,45.369,no,supercont1.767,supercont1.767,0,523571,523571,165669509,165669509
chr1,45.369,no,supercont1.80,supercont1.80,0,2848369,2848369,168517878,168517878
chr1,45.369,no,supercont1.920,supercont1.920,0,366980,366980,168884858,168884858
chr1,49.189,no,supercont1.285,supercont1.285,0,1495757,1495757,170380615,170380615
chr1,49.189,no,supercont1.367,supercont1.367,0,1163131,1163131,171543746,171543746
chr1,49.189,yes,supercont1.82,supercont1.82b,2157704,2859376,701672,172245418,172245418
chr1,54.179,yes,supercont1.125,supercont1.125b,887329,2472376,1585047,173830465,173830465
chr1,54.179,yes,supercont1.22,supercont1.22b,2806911,4100794,1293883,175124348,175124348
chr1,54.179,no,supercont1.438,supercont1.438,0,1121788,1121788,176246136,176246136
chr1,54.179,no,supercont1.681,supercont1.681,0,626384,626384,176872520,176872520
chr2,0,yes,supercont1.145,supercont1.145b,1194763,2217386,1022623,1022623,177895143
chr2,0,no,supercont1.183,supercont1.183,0,1899110,1899110,2921733,179794253
chr2,0,yes,supercont1.20,supercont1.20a,0,2034360,2034360,4956093,181828613
chr2,0,no,supercont1.306,supercont1.306,0,1398852,1398852,6354945,183227465
chr2,0,no,supercont1.341,supercont1.341,0,1236773,1236773,7591718,184464238
chr2,0,no,supercont1.356,supercont1.356,0,1286069,1286069,8877787,185750307
chr2,0,no,supercont1.584,supercont1.584,0,838166,838166,9715953,186588473
chr2,8.657,no,supercont1.225,supercont1.225,0,1723990,1723990,11439943,188312463
chr2,8.657,no,supercont1.36,supercont1.36,0,3595646,3595646,15035589,191908109
chr2,8.657,no,supercont1.484,supercont1.484,0,972122,972122,16007711,192880231
chr2,8.657,no,supercont1.661,supercont1.661,0,667038,667038,16674749,193547269
chr2,8.657,no,supercont1.833,supercont1.833,0,442803,442803,17117552,193990072
chr2,11.517,no,supercont1.471,supercont1.471,0,920497,920497,18038049,194910569
chr2,11.517,no,supercont1.624,supercont1.624,0,843261,843261,18881310,195753830
chr2,13.34,no,supercont1.52,supercont1.52,0,3212514,3212514,22093824,198966344
chr2,15.163,no,supercont1.1047,supercont1.1047,0,291777,291777,22385601,199258121
chr2,15.163,no,supercont1.1054,supercont1.1054,0,256344,256344,22641945,199514465
chr2,15.163,no,supercont1.124,supercont1.124,0,2397010,2397010,25038955,201911475
chr2,15.163,yes,supercont1.293,supercont1.293b,796405,1411600,615195,25654150,202526670
chr2,15.163,no,supercont1.41,supercont1.41,0,3348252,3348252,29002402,205874922
chr2,15.163,no,supercont1.453,supercont1.453,0,997121,997121,29999523,206872043
chr2,15.163,no,supercont1.581,supercont1.581,0,760982,760982,30760505,207633025
chr2,15.163,no,supercont1.861,supercont1.861,0,436375,436375,31196880,208069400
chr2,21.697,yes,supercont1.291,supercont1.291a,0,615850,615850,31812730,208685250
chr2,21.697,no,supercont1.319,supercont1.319,0,1366586,1366586,33179316,210051836
chr2,21.697,yes,supercont1.77,supercont1.77b,1563158,2908877,1345719,34525035,211397555
chr2,23.127,no,supercont1.391,supercont1.391,0,1138338,1138338,35663373,212535893
chr2,27.234,yes,supercont1.32,supercont1.32c,329084,3742797,3413713,39077086,215949606
chr2,29.911,no,supercont1.1038,supercont1.1038,0,267450,267450,39344536,216217056
chr2,29.911,no,supercont1.15,supercont1.15,0,4333154,4333154,43677690,220550210
chr2,29.911,no,supercont1.195,supercont1.195,0,1866282,1866282,45543972,222416492
chr2,29.911,yes,supercont1.32,supercont1.32a,0,313409,313409,45857381,222729901
chr2,29.911,yes,supercont1.380,supercont1.380a,0,181043,181043,46038424,222910944
chr2,29.911,no,supercont1.720,supercont1.720,0,619506,619506,46657930,223530450
chr2,38.175,no,supercont1.210,supercont1.210,0,2048554,2048554,48706484,225579004
chr2,38.175,no,supercont1.257,supercont1.257,0,1653969,1653969,50360453,227232973
chr2,38.175,yes,supercont1.27,supercont1.27b,3264320,3799043,534723,50895176,227767696
chr2,41.035,no,supercont1.1179,supercont1.1179,0,185283,185283,51080459,227952979
chr2,41.035,no,supercont1.148,supercont1.148,0,2163576,2163576,53244035,230116555
chr2,41.035,yes,supercont1.58,supercont1.58a,0,198790,198790,53442825,230315345
chr2,43.896,no,supercont1.219,supercont1.219,0,1777957,1777957,55220782,232093302
chr2,43.896,no,supercont1.39,supercont1.39,0,3590018,3590018,58810800,235683320
chr2,43.896,no,supercont1.585,supercont1.585,0,724511,724511,59535311,236407831
chr2,46.756,no,supercont1.1012,supercont1.1012,0,313854,313854,59849165,236721685
chr2,46.756,no,supercont1.1059,supercont1.1059,0,270590,270590,60119755,236992275
chr2,46.756,no,supercont1.112,supercont1.112,0,2520184,2520184,62639939,239512459
chr2,46.756,no,supercont1.132,supercont1.132,0,2355619,2355619,64995558,241868078
chr2,46.756,no,supercont1.1332,supercont1.1332,0,120007,120007,65115565,241988085
chr2,46.756,yes,supercont1.145,supercont1.145a,0,522119,522119,65637684,242510204
chr2,46.756,yes,supercont1.2,supercont1.2a,0,510583,510583,66148267,243020787
chr2,46.756,yes,supercont1.204,supercont1.204b,1814925,1827752,12827,66161094,243033614
chr2,46.756,no,supercont1.268,supercont1.268,0,1568215,1568215,67729309,244601829
chr2,46.756,no,supercont1.277,supercont1.277,0,1632801,1632801,69362110,246234630
chr2,46.756,no,supercont1.324,supercont1.324,0,1391024,1391024,70753134,247625654
chr2,46.756,no,supercont1.330,supercont1.330,0,1458457,1458457,72211591,249084111
chr2,46.756,no,supercont1.363,supercont1.363,0,1232851,1232851,73444442,250316962
chr2,46.756,no,supercont1.377,supercont1.377,0,1204331,1204331,74648773,251521293
chr2,46.756,no,supercont1.381,supercont1.381,0,1184037,1184037,75832810,252705330
chr2,46.756,yes,supercont1.401,supercont1.401b,893482,1215658,322176,76154986,253027506
chr2,46.756,no,supercont1.482,supercont1.482,0,913351,913351,77068337,253940857
chr2,46.756,no,supercont1.517,supercont1.517,0,839867,839867,77908204,254780724
chr2,46.756,no,supercont1.588,supercont1.588,0,753446,753446,78661650,255534170
chr2,46.756,no,supercont1.604,supercont1.604,0,777527,777527,79439177,256311697
chr2,46.756,yes,supercont1.66,supercont1.66b,2899563,3011136,111573,79550750,256423270
chr2,46.756,no,supercont1.677,supercont1.677,0,634724,634724,80185474,257057994
chr2,46.756,no,supercont1.716,supercont1.716,0,574296,574296,80759770,257632290
chr2,46.756,no,supercont1.769,supercont1.769,0,556352,556352,81316122,258188642
chr2,46.756,no,supercont1.815,supercont1.815,0,490585,490585,81806707,258679227
chr2,46.756,no,supercont1.849,supercont1.849,0,445385,445385,82252092,259124612
chr2,46.756,no,supercont1.851,supercont1.851,0,472387,472387,82724479,259596999
chr2,46.756,no,supercont1.879,supercont1.879,0,422257,422257,83146736,260019256
chr2,46.756,no,supercont1.908,supercont1.908,0,368978,368978,83515714,260388234
chr2,46.756,no,supercont1.918,supercont1.918,0,362023,362023,83877737,260750257
